path,alive_edges,failed_edges
"[(0, 'v0'), (None, 'v1')]",[0],[2]
"[(0, 'v0'), (0, 'v1'), (None, 'v0')]",[0],"[1, 2]"
"[(0, 'v0'), (2, 'v1'), (None, 'v2')]","[0, 2]","[4, 5]"
"[(0, 'v0'), (2, 'v1'), (2, 'v2'), (None, 'v1')]","[0, 2]","[4, 5]"
"[(0, 'v0'), (2, 'v1'), (2, 'v2'), (0, 'v1'), (None, 'v0')]","[0, 2]","[1, 4, 5]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (None, 'v4')]","[0, 2, 4]","[3, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (None, 'v3')]","[0, 2, 3, 4]","[5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (3, 'v3'), (None, 'v4')]","[0, 2, 3, 4]","[1, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (3, 'v3'), (4, 'v4'), (None, 'v2')]","[0, 2, 3, 4]","[1, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (3, 'v3'), (4, 'v4'), (2, 'v2'), (None, 'v1')]","[0, 2, 3, 4]","[1, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (3, 'v3'), (4, 'v4'), (2, 'v2'), (0, 'v1'), (None, 'v0')]","[0, 2, 3, 4]","[1, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (3, 'v3'), (6, 'v4'), (None, 'v5')]","[0, 2, 3, 4, 6]","[1, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (3, 'v3'), (6, 'v4'), (6, 'v5'), (None, 'v4')]","[0, 2, 3, 4, 6]","[1, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (3, 'v3'), (6, 'v4'), (6, 'v5'), (4, 'v4'), (None, 'v2')]","[0, 2, 3, 4, 6]","[1, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (3, 'v3'), (6, 'v4'), (6, 'v5'), (4, 'v4'), (2, 'v2'), (None, 'v1')]","[0, 2, 3, 4, 6]","[1, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (3, 'v4'), (3, 'v3'), (6, 'v4'), (6, 'v5'), (4, 'v4'), (2, 'v2'), (0, 'v1'), (None, 'v0')]","[0, 2, 3, 4, 6]","[1, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (4, 'v4'), (None, 'v2')]","[0, 2, 4]","[3, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (4, 'v4'), (2, 'v2'), (None, 'v1')]","[0, 2, 4]","[3, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (4, 'v4'), (2, 'v2'), (0, 'v1'), (None, 'v0')]","[0, 2, 4]","[1, 3, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (None, 'v5')]","[0, 2, 4, 6]","[3, 5]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (6, 'v5'), (None, 'v4')]","[0, 2, 4, 6]","[3, 5]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (6, 'v5'), (3, 'v4'), (None, 'v3')]","[0, 2, 3, 4, 6]","[3, 5]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (6, 'v5'), (3, 'v4'), (3, 'v3'), (None, 'v4')]","[0, 2, 3, 4, 6]","[1, 3, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (6, 'v5'), (3, 'v4'), (3, 'v3'), (4, 'v4'), (None, 'v2')]","[0, 2, 3, 4, 6]","[1, 3, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (6, 'v5'), (3, 'v4'), (3, 'v3'), (4, 'v4'), (2, 'v2'), (None, 'v1')]","[0, 2, 3, 4, 6]","[1, 3, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (6, 'v5'), (3, 'v4'), (3, 'v3'), (4, 'v4'), (2, 'v2'), (0, 'v1'), (None, 'v0')]","[0, 2, 3, 4, 6]","[1, 3, 5, 6]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (6, 'v5'), (4, 'v4'), (None, 'v2')]","[0, 2, 4, 6]","[3, 5]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (6, 'v5'), (4, 'v4'), (2, 'v2'), (None, 'v1')]","[0, 2, 4, 6]","[3, 5]"
"[(0, 'v0'), (2, 'v1'), (4, 'v2'), (6, 'v4'), (6, 'v5'), (4, 'v4'), (2, 'v2'), (0, 'v1'), (None, 'v0')]","[0, 2, 4, 6]","[1, 3, 5]"
